Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Education,,Dr. Margaret Denton,denton_margaret.png,,37.573961,-77.539614,University of Richmond,Associate Professor,"PhD, 1986"
Museum Director,,"Andria Derstine, PhD",,,41.293594,-82.216549,The Allen Memorial Art Museum,Director,PhD
Curatorial,,Dr. Isabelle M. Dervaux,,,40.749375,-73.981344,The Morgan Library & Museum,Curator of Modern & Contemporary Drawings,PhD
For-profit Arts Professional,,Ms. Anna Christie di Stasi,,,,,Bauer & Di Stasi Art Advisors, ,"MA '08, IFA (GSAS/History of Art and Archaeology)"
Other Occupations,,"Beatrice M. Dias, M.D.",,,,,Litchfield Hills Dermatology,Dermatologist,"BA '77, WSC; MA '81, IFA (GSAS/Fine Arts)"
Education,,Dr. Layla S. Diba,,,,,Bard Graduate Center,"Dvisiting Professor, ecorative Arts Department","MA '72, IFA (GSAS/Fine Arts); PHD '94, IFA (GSAS/History of Art and Archaeology)"
Curatorial,,"Claude D. Dickerson, PhD",,2015,38.891298,-77.019965,National Gallery of Art,Curator and Head of Sculpture Department,PhD 2006
,,Dr. Stephanie S. Dickey,,,,,Queen's University,Bader Chair in Northern Baroque Art,"MA '81, IFA (GSAS/Fine Arts); PHD '94, IFA (GSAS/History of Art and Archaeology)"
Education,,Dr. Sheila Dillon,,,41.919769,-91.649501,Duke University,Associate Professor, PhD
,,Dr. Lois Dinnerstein,,,,, ,"Art Historian, Lecturer, Author & Consultant",MA
